Code,"ID (NYT, cartogram)",Show it?,Tag it?,Official name,Lowercase name,Parents,Popularity,tag0,tag1,tag2,tag3,tag4,tag5,tag6,Part of,Code,Comment,Search string
ISR,103,1,1,Israel,Israel,4,0.01912,news,world,asia,middle_east,,,,,Er,,Israel
JOR,108,1,1,Jordan,Jordan,4,0.01492,news,world,asia,middle_east,,,,,Es,,"Jordan AND (Amman OR Israel or ""middle east"" or palest* or arab)"
KWT,113,1,1,Kuwait,Kuwait,4,0.00212,news,world,asia,middle_east,,,,,Et,,Kuwait
LBN,117,1,1,Lebanon,Lebanon,4,0.00327,news,world,asia,middle_east,,,,,Eu,,Lebanon
PSE,163,1,1,Palestine,Palestine,4,0.00150,news,world,asia,middle_east,,,,,Ev,,Palestine
QAT,173,1,1,Qatar,Qatar,4,0.00248,news,world,asia,middle_east,,,,,Ew,,Qatar
OMN,160,1,1,Oman,Oman,4,0.00097,news,world,asia,middle_east,,,,,Ex,,Oman
SAU,183,1,1,Saudi Arabia,Saudi Arabia,4,0.01522,news,world,asia,middle_east,,,,,Ey,,"""saudi arabia"""
SYR,209,1,1,Syria,Syria,4,0.00883,news,world,asia,middle_east,,,,,Ez,,Syria
TUR,220,1,1,Turkey,Turkey,4,0.00886,news,world,asia,middle_east,europe,,,,Fa,,Turkey
ARE,226,1,1,United Arab Emirates,United Arab Emirates,4,0.00324,news,world,asia,middle_east,,,,,Fb,,"""United Arab Emirates"""
YEM,237,1,1,Yemen,Yemen,4,0.00451,news,world,asia,middle_east,,,,,Fc,,Yemen
caucasus,,1,0,Caucasus,Caucasus,3,0.04149,news,world,asia,,,,,,Fd,,
ARM,11,1,1,Armenia,Armenia,4,0.00091,news,world,asia,caucasus,,,,,Fe,,Armenia
AZE,16,1,1,Azerbaijan,Azerbaijan,4,0.00048,news,world,asia,caucasus,,,,,Ff,,Azerbaijan
GEO,78,1,1,Georgia,Georgia,4,0.04039,news,world,asia,caucasus,,,,,Fg,,Georgia AND (republic OR russia OR soviet OR tblisi)
central_asia,,1,0,Central Asia,Central Asia,3,0.00291,news,world,asia,,,,,,Fh,,
KAZ,109,1,1,Kazakhstan,Kazakhstan,4,0.00153,news,world,asia,central_asia,,,,,Fi,,Kazakhstan
KGZ,114,1,1,Kyrgyzstan,Kyrgyzstan,4,0.00042,news,world,asia,central_asia,,,,,Fj,,Kyrgyzstan
TJK,212,1,1,Tajikistan,Tajikistan,4,0.00062,news,world,asia,central_asia,,,,,Fk,,Tajikistan
TKM,221,1,1,Turkmenistan,Turkmenistan,4,0.00057,news,world,asia,central_asia,,,,,Fl,,Turkmenistan
UZB,230,1,1,Uzbekistan,Uzbekistan,4,0.00050,news,world,asia,central_asia,,,,,Fm,,Uzbekistan
east_asia,,1,0,East Asia,East Asia,3,0.20432,news,world,asia,,,,,,Fn,,
CHN,45,1,1,China,China,4,0.16292,news,world,asia,east_asia,,,,,Fo,,China
HKG,93,0,1,Hong Kong,Hong Kong,4,0.01824,news,world,asia,east_asia,CHN,,,CHN,Fp,,"""hong kong"""
MAC,124,0,1,Macao,Macao,4,0.00060,news,world,asia,east_asia,CHN,,,CHN,Fq,,Macao
TWN,211,1,1,Taiwan,Taiwan,4,0.01227,news,world,asia,east_asia,,,,,Fr,,Taiwan
JPN,106,1,1,Japan,Japan,4,0.03507,news,world,asia,east_asia,,,,,Fs,,Japan
PRK,158,1,1,North Korea,North Korea,4,0.01044,news,world,asia,east_asia,,,,,Ft,,"""north korea"""
KOR,197,1,1,South Korea,South Korea,4,0.02981,news,world,asia,east_asia,,,,,Fu,,"korea NOT ""north korea"""
MNG,139,1,1,Mongolia,Mongolia,4,0.00075,news,world,asia,east_asia,,,,,Fv,,Mongolia
south_asia,,1,0,South Asia,South Asia,3,0.06570,news,world,asia,,,,,,Fw,,
AFG,1,1,1,Afghanistan,Afghanistan,4,0.00772,news,world,asia,south_asia,,,,,Fx,,Afghanistan
BGD,19,1,1,Bangladesh,Bangladesh,4,0.00393,news,world,asia,south_asia,,,,,Fy,,Bangladesh
BTN,26,1,1,Bhutan,Bhutan,4,0.00055,news,world,asia,south_asia,,,,,Fz,,Bhutan
IND,96,1,1,India,India,4,0.05185,news,world,asia,south_asia,,,,,Ga,,India
sia,187,1,1,Siachen Glacier,Siachen Glacier,4,0.00002,news,world,asia,south_asia,IND,,,IND,Gb,Unpopulated except for IND/PAK troops disputing it,"""siachen glacier"""
MDV,129,1,1,Maldives,Maldives,4,0.00067,news,world,asia,south_asia,,,,,Gc,,Maldives
MMR,144,1,1,Myanmar,Myanmar,4,0.00204,news,world,asia,south_asia,,,,,Gd,,Myanmar
NPL,149,1,1,Nepal,Nepal,4,0.00182,news,world,asia,south_asia,,,,,Ge,,Nepal
PAK,161,1,1,Pakistan,Pakistan,4,0.00669,news,world,asia,south_asia,,,,,Gf,,Pakistan
LKA,199,1,1,Sri Lanka,Sri Lanka,4,0.00256,news,world,asia,south_asia,,,,,Gg,,"""sri lanka"""
southeast_asia,,1,0,Southeast Asia,Southeast Asia,3,0.04214,news,world,asia,,,,,,Gh,,
KHM,38,1,1,Cambodia,Cambodia,4,0.00230,news,world,asia,southeast_asia,,,,,Gi,,Cambodia
IDN,98,1,1,Indonesia,Indonesia,4,0.00690,news,world,asia,southeast_asia,,,,,Gj,,Indonesia
LAO,115,1,1,Laos,Laos,4,0.00075,news,world,asia,southeast_asia,,,,,Gk,,Laos
MYS,128,1,1,Malaysia,Malaysia,4,0.00494,news,world,asia,southeast_asia,,,,,Gl,,Malaysia
BRN,33,1,1,Brunei,Brunei,4,0.00040,news,world,asia,southeast_asia,,,,,Gm,,Brunei
PHL,168,1,1,Philippines,Philippines,4,0.00567,news,world,asia,southeast_asia,,,,,Gn,,Philippines
SGP,189,1,1,Singapore,Singapore,4,0.01513,news,world,asia,southeast_asia,,,,,Go,,Singapore
THA,214,1,1,Thailand,Thailand,4,0.00570,news,world,asia,southeast_asia,,,,,Gp,,Thailand
TLS,215,1,1,Timor-Leste,Timor-Leste,4,0.00006,news,world,asia,southeast_asia,,,,,Gq,,"""Timor-Leste"" OR ""east timor"""
VNM,234,1,1,Vietnam,Vietnam,4,0.01298,news,world,asia,southeast_asia,,,,,Gr,,Vietnam
africa,,1,0,Africa,Africa,2,0.05356,news,world,,,,,,,Gs,,
north_africa,,1,0,North Africa,North Africa,3,0.01491,news,world,africa,,,,,,Gt,,
DZA,3,1,1,Algeria,Algeria,4,0.00144,news,world,africa,north_africa,,,,,Gu,,Algeria
EGY,63,1,1,Egypt,Egypt,4,0.00713,news,world,africa,north_africa,,,,,Gv,,Egypt
LBY,120,1,1,Libya,Libya,4,0.00350,news,world,africa,north_africa,,,,,Gw,,Libya
MAR,142,1,1,Morocco,Morocco,4,0.00177,news,world,africa,north_africa,,,,,Gx,,Morocco
SSD,178,1,1,South Sudan,South Sudan,4,0.00112,news,world,africa,north_africa,,,,,Gy,,"""South Sudan"""
SDN,205,1,1,Sudan,Sudan,4,0.00300,news,world,africa,north_africa,,,,,Gz,,"Sudan NOT ""South Sudan"""
TUN,219,1,1,Tunisia,Tunisia,4,0.00136,news,world,africa,north_africa,,,,,Ha,,Tunisia
ESH,235,0,1,W. Sahara,W. Sahara,4,0.00002,news,world,africa,north_africa,,,,,Hb,"Contested terriory: claims independence from Morocco, de facto only part of it is independent","""Western Sahara"""
west_africa,,1,0,West Africa,West Africa,3,0.01730,news,world,africa,,,,,,Hc,,
BEN,24,1,1,Benin,Benin,4,0.00064,news,world,africa,west_africa,,,,,Hd,,Benin
BFA,35,1,1,Burkina Faso,Burkina Faso,4,0.00090,news,world,africa,west_africa,,,,,He,,"""burkina faso"""
CIV,56,1,1,Cote d'Ivoire,Cote d'Ivoire,4,0.00004,news,world,africa,west_africa,,,,,Hf,,"""Costa Rica"""
CPV,37,1,1,Cabo Verde,Cabo Verde,4,0.00002,news,world,africa,west_africa,,,,,Hg,,"""cabo verde"" OR ""cape verde"""
GMB,77,1,1,Gambia,Gambia,4,0.00034,news,world,africa,west_africa,,,,,Hh,,Gambia
GHA,80,1,1,Ghana,Ghana,4,0.00208,news,world,africa,west_africa,,,,,Hi,,Ghana
GIN,87,1,1,Guinea,Guinea,4,0.00163,news,world,africa,west_africa,,,,,Hj,,Guinea
GNB,88,1,1,Guinea-Bissau,Guinea-Bissau,4,0.00017,news,world,africa,west_africa,,,,,Hk,,"""Guinea-Bissau"""
LBR,119,1,1,Liberia,Liberia,4,0.00127,news,world,africa,west_africa,,,,,Hl,,Liberia
MLI,130,1,1,Mali,Mali,4,0.00569,news,world,africa,west_africa,,,,,Hm,,Mali
MRT,133,1,1,Mauritania,Mauritania,4,0.00031,news,world,africa,west_africa,,,,,Hn,,Mauritania
NER,154,1,1,Niger,Niger,4,0.00675,news,world,africa,west_africa,,,,,Ho,,Niger
NGA,155,1,1,Nigeria,Nigeria,4,0.00628,news,world,africa,west_africa,,,,,Hp,,Nigeria
SHN,179,0,1,Saint Helena,Saint Helena,4,0.00002,news,world,africa,west_africa,GBR,,,GBR,Hq,5000 people,"""saint helena"""
SEN,184,1,1,Senegal,Senegal,4,0.00140,news,world,africa,west_africa,,,,,Hr,,Senegal
SLE,188,1,1,Sierra Leone,Sierra Leone,4,0.00113,news,world,africa,west_africa,,,,,Hs,,"""sierra leone"""
TGO,216,1,1,Togo,Togo,4,0.00035,news,world,africa,west_africa,,,,,Ht,,Togo
central_africa,,1,0,Central Africa,Central Africa,3,0.01056,news,world,africa,,,,,,Hu,,
AGO,6,1,1,Angola,Angola,4,0.00106,news,world,africa,central_africa,,,,,Hv,,Angola
CMR,39,1,1,Cameroon,Cameroon,4,0.00117,news,world,africa,central_africa,,,,,Hw,,Cameroon
CAF,42,1,1,Central African Republic,Central African Republic,4,0.00050,news,world,africa,central_africa,,,,,Hx,,"""central african republic"""
TCD,43,1,1,Chad,Chad,4,0.00530,news,world,africa,central_africa,,,,,Hy,,Chad
COG,48,1,1,Congo,Congo,4,0.00352,news,world,africa,central_africa,,,,,Hz,,"""congo"" NOT (""democratic republic of the congo"" OR ""democratic republic of the congo"")"
COD,57,1,1,Democratic Republic of Congo,Democratic Republic of Congo,4,0.00106,news,world,africa,central_africa,,,,,Ia,,"""democratic republic of the congo"" OR ""democratic republic of congo"" "
GNQ,65,1,1,Equatorial Guinea,Equatorial Guinea,4,0.00015,news,world,africa,central_africa,,,,,Ib,,"""equtorial guinea"""
GAB,76,1,1,Gabon,Gabon,4,0.00034,news,world,africa,central_africa,,,,,Ic,,Gabon
STP,210,1,1,Sao Tome and Principe,Sao Tome and Principe,4,0.00010,news,world,africa,central_africa,,,,,Id,,"""san marino"""
east_africa,,1,0,East Africa,East Africa,3,0.01325,news,world,africa,,,,,,Ie,,
BDI,36,1,1,Burundi,Burundi,4,0.00036,news,world,africa,east_africa,,,,,If,,Burundi
COM,47,1,1,Comoros,Comoros,4,0.00023,news,world,africa,east_africa,,,,,Ig,,Comoros
DJI,59,1,1,Djibouti,Djibouti,4,0.00056,news,world,africa,east_africa,,,,,Ih,,Djibouti
ERI,66,1,1,Eritrea,Eritrea,4,0.00071,news,world,africa,east_africa,,,,,Ii,,Eritrea
ETH,68,1,1,Ethiopia,Ethiopia,4,0.00426,news,world,africa,east_africa,,,,,Ij,,Ethiopia
KEN,110,1,1,Kenya,Kenya,4,0.00514,news,world,africa,east_africa,,,,,Ik,,Kenya
MUS,134,1,1,Mauritius,Mauritius,4,0.00025,news,world,africa,east_africa,,,,,Il,,Mauritius
RWA,176,1,1,Rwanda,Rwanda,4,0.00156,news,world,africa,east_africa,,,,,Im,,Rwanda
SYC,186,1,1,Seychelles,Seychelles,4,0.00027,news,world,africa,east_africa,,,,,In,,Seychelles
SOM,194,1,1,Somalia,Somalia,4,0.00201,news,world,africa,east_africa,,,,,Io,,Somalia
sml,195,0,1,Somaliland,Somaliland,4,0.00016,news,world,africa,east_africa,SOM,,,SOM,Ip,"Claimed indenpenence from Somalia, but recognized by no other country",Somaliland
TZA,213,1,1,Tanzania,Tanzania,4,0.00120,news,world,africa,east_africa,,,,,Iq,,Tanzania
UGA,224,1,1,Uganda,Uganda,4,0.00235,news,world,africa,east_africa,,,,,Ir,,Uganda
southern_africa,,1,0,Southern Africa,Southern Africa,3,0.01346,news,world,africa,,,,,,Is,,
MDG,126,1,1,Madagascar,Madagascar,4,0.00075,news,world,africa,southern_africa,,,,,It,,Madagascar
MWI,127,1,1,Malawi,Malawi,4,0.00057,news,world,africa,southern_africa,,,,,Iu,,Malawi
MOZ,143,1,1,Mozambique,Mozambique,4,0.00075,news,world,africa,southern_africa,,,,,Iv,,Mozambique
ZMB,238,1,1,Zambia,Zambia,4,0.00057,news,world,africa,southern_africa,,,,,Iw,,Zambia
ZWE,239,1,1,Zimbabwe,Zimbabwe,4,0.00193,news,world,africa,southern_africa,,,,,Ix,,Zimbabwe
BWA,29,1,1,Botswana,Botswana,4,0.00065,news,world,africa,southern_africa,,,,,Iy,,Botswana
SWZ,240,1,1,Eswatini,Eswatini,4,0.00003,news,world,africa,southern_africa,,,,,Iz,,Estonia
LSO,118,1,1,Lesotho,Lesotho,4,0.00041,news,world,africa,southern_africa,,,,,Ja,,Lesotho
NAM,147,1,1,Namibia,Namibia,4,0.00045,news,world,africa,southern_africa,,,,,Jb,,Namibia
ZAF,196,1,1,South Africa,South Africa,4,0.01008,news,world,africa,southern_africa,,,,,Jc,,"""south africa"""
ATF,74,0,1,French Southern Territories,French Southern Territories,4,0.00002,news,world,africa,southern_africa,FRA,,,FRA,Jd,No permanent population,"""French Southern Terriories"""
oceania,,1,0,Oceania,Oceania,2,0.04381,news,world,,,,,,,Je,,
AUS,14,1,1,Australia,Australia,3,0.03039,news,world,oceania,,,,,,Jf,,Australia
NZL,152,1,1,New Zealand,New Zealand,3,0.01030,news,world,oceania,,,,,,Jg,,"""new zealand"""
ANT,8,1,1,Antarctica,Antarctica,3,0.00139,news,world,oceania,,,,,,Jh,,Antarctica
micronesia,,1,0,Micronesia,Micronesia,3,0.00635,news,world,oceania,,,,,,Ji,,
FSM,136,1,1,Federated States of Micronesia,Federated States of Micronesia,4,0.00002,news,world,oceania,micronesia,,,,,Jj,"Federated States of Micronesia, not to be confused with the 6-country region: FSM, Palau, Kiribati, Guam (US), Northern Mariana Islands (US), Nauru ","""falkland islands"""
MHL,132,1,1,Marshall Islands,Marshall Islands,4,0.00019,news,world,oceania,micronesia,,,,,Jk,,"""marshall islands"""
GUM,84,1,1,Guam,Guam,4,0.00589,news,world,oceania,micronesia,USA,,,USA,Jl,163000 people,Guam
KIR,111,1,1,Kiribati,Kiribati,4,0.00016,news,world,oceania,micronesia,,,,,Jm,110000 people,Kiribati
NRU,148,1,1,Nauru,Nauru,4,0.00014,news,world,oceania,micronesia,,,,,Jn,,Nauru
PLW,162,1,1,Palau,Palau,4,0.00028,news,world,oceania,micronesia,,,,,Jo,,Palau
MNP,146,0,1,North Mariana Islands,North Mariana Islands,4,0.00002,news,world,oceania,micronesia,USA,,,USA,Jp,,"""Mariana Islands"""
